"Date","Sales","Tracked Sales","Anonymous Sales"
6/9/2017,$11765988.96,$11765669.11,$319.85
6/10/2017,$13416660.18,$13415673.51,$986.67
6/11/2017,$30705312.71,$30702579.71,$2733.00
6/12/2017,$27361824.01,$27360967.27,$856.74
6/13/2017,$14858114.04,$14858072.54,$41.50
6/14/2017,$12227801.48,$12227287.35,$514.13
6/15/2017,$11341206.23,$11340980.51,$225.72
6/16/2017,$18102092.39,$18101644.70,$447.69
6/17/2017,$21916068.97,$21914560.90,$1508.07
6/18/2017,$15292898.09,$15292529.55,$368.54
6/19/2017,$10731483.85,$10731483.85,$0.00
6/20/2017,$11747973.00,$11747868.03,$104.97
6/21/2017,$11842816.86,$11842428.95,$387.91
6/22/2017,$11176677.09,$11175702.60,$974.49
6/23/2017,$10803621.83,$10803337.97,$283.86
6/24/2017,$10339606.06,$10339371.83,$234.23
6/25/2017,$12572128.85,$12570720.34,$1408.51
6/26/2017,$10105040.18,$10104453.37,$586.81
6/27/2017,$8297541.73,$8297162.36,$379.37
6/28/2017,$13752101.20,$13751794.16,$307.04
6/29/2017,$13396573.42,$13395889.97,$683.45
6/30/2017,$13175761.86,$13175068.84,$693.02
7/1/2017,$12941440.40,$12940695.15,$745.25
7/2/2017,$13651256.73,$13650784.73,$472.00
7/3/2017,$14437489.54,$14436610.56,$878.98
7/4/2017,$20342914.25,$20340956.59,$1957.66
7/5/2017,$10196085.27,$10196031.30,$53.97
7/6/2017,$6774642.55,$6774084.78,$557.77
7/7/2017,$14251950.75,$14251156.55,$794.20
7/8/2017,$18171993.24,$18171064.97,$928.27
7/9/2017,$12657103.92,$12655840.76,$1263.16
7/10/2017,$8440377.83,$8439857.77,$520.06
7/11/2017,$24243402.42,$24242995.95,$406.47
7/12/2017,$17222664.20,$17221223.63,$1440.57
7/13/2017,$14443264.96,$14442499.56,$765.40
7/14/2017,$14758320.05,$14756794.97,$1525.08
7/15/2017,$14695656.95,$14695089.76,$567.19
7/16/2017,$18064991.01,$18064526.12,$464.89
7/17/2017,$21330947.53,$21330499.57,$447.96
7/18/2017,$9456607.86,$9455977.40,$630.46
7/19/2017,$7164816.03,$7163962.61,$853.42
7/20/2017,$6812773.18,$6812345.55,$427.63
7/21/2017,$8912644.02,$8912276.45,$367.57
7/22/2017,$9724802.10,$9724547.64,$254.46
7/23/2017,$11165314.01,$11164509.91,$804.10
7/24/2017,$9752992.07,$9752918.07,$74.00
7/25/2017,$10609168.37,$10608338.52,$829.85
7/26/2017,$10506341.45,$10505689.61,$651.84
7/27/2017,$9830768.78,$9830117.57,$651.21
7/28/2017,$9909851.04,$9909851.04,$0.00
7/29/2017,$10628830.26,$10627864.53,$965.73
7/30/2017,$14065578.72,$14063354.31,$2224.41
7/31/2017,$10277684.46,$10277379.50,$304.96
8/1/2017,$10008331.09,$10007512.76,$818.33
8/2/2017,$9373386.43,$9372698.48,$687.95
8/3/2017,$8637572.34,$8637411.09,$161.25
8/4/2017,$15676687.40,$15675772.07,$915.33
8/5/2017,$19605358.28,$19603613.13,$1745.15
8/6/2017,$15674715.28,$15674142.45,$572.83
8/7/2017,$10352360.45,$10351002.07,$1358.38
8/8/2017,$7959679.36,$7959570.23,$109.13
8/9/2017,$7660767.57,$7660345.25,$422.32
8/10/2017,$9960768.90,$9960315.98,$452.92
8/11/2017,$10529862.48,$10529300.57,$561.91
8/12/2017,$11256132.75,$11255389.57,$743.18
8/13/2017,$14185272.75,$14184930.84,$341.91
8/14/2017,$8650367.78,$8650149.45,$218.33
8/15/2017,$13016639.49,$13015472.47,$1167.02
8/16/2017,$13368317.44,$13367386.06,$931.38
8/17/2017,$13337706.54,$13336734.15,$972.39
8/18/2017,$10823251.50,$10822329.16,$922.34
8/19/2017,$10967256.97,$10966533.15,$723.82
8/20/2017,$11872405.16,$11871801.53,$603.63
8/21/2017,$11189749.25,$11188069.04,$1680.21
8/22/2017,$12542576.82,$12541636.52,$940.30
8/23/2017,$12815465.27,$12815229.31,$235.96
8/24/2017,$11862393.55,$11861884.86,$508.69
8/25/2017,$11819116.50,$11817965.16,$1151.34
8/26/2017,$12546619.66,$12546484.71,$134.95
